Date,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,Operation,SWAT Implement,Tillage Code,Mixing Depth (mm),Mixing Efficiency,Area Fraction,Type / Note,Op System,Compute_Warning,Disturbance_Fraction,RowID,Window_ID,Window_Start,Window_End,Crop,Disturbance_Cum,Disturbance_CumAllYears
2017-10-13,JD 7980 Forage Harvester,,Kraft,,,Harvest Silage Corn,,,,,,,CT,,0.0,97,7.0,2016-07-25 00:00:00.000000000,2017-10-13,silage corn,1.2218749999999998,10.686375
2017-11-21,JD 8245R,245.0,JD 2623VT,~26.5 - 40.67',,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,98,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,0.3,10.986374999999999
2018-03-23,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,99,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.0125,11.698875
2018-03-26,JD 6130R,130.0,Brillion Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,100,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.04375,11.730125
2018-04-03,JD 6130R,130.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,101,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.075,11.761375
2018-04-03,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,102,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.2625,11.948875
2018-04-18,JD 6130R,130.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,103,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.29375,11.980125
2018-05-01,JD 4440,144.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,104,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.29375,11.980125
2018-05-15,JD 8295R,295.0,Perfecta Field Cultivator,24',,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,105,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-15,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,106,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-17,JD 7820,189.0,Corrugator #1,,,Corrugator #1,,,,,,,CT,,0.0,107,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-05-18,,,JD 1710 Max Emerge 12 Row ,12 row,,Plant Dry Beans,,,,,,,CT,,0.0,108,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.315625,12.001999999999999
2018-06-25,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,109,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.3375,12.023874999999999
2018-06-26,JD 4455,156.0,Red Pipe Ditcher,6 row,,Pipe Ditch,,,,,,,CT,,0.0,110,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.3375,12.023874999999999
2018-07-17,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,111,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.359375,12.04575
2018-08-30,Pickett 6030 OneStep 6Row,,,,Probably make sense to custom this out,Knife Dry Beans,—,—,0.0,0.0,0.0,Non-tillage (undercutter/knife pre-harvest; treat as zero mixing),CT,,0.0,112,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.359375,12.04575
2018-09-04,Case 1660 Combine,,Case 1660 Combine,,,Harvest Dry Beans,,,,,,,CT,,0.0,113,8.0,2017-10-13 00:00:00.000000000,2018-09-04,dry beans,1.359375,12.04575
2018-09-07,New Holland T8.435,380.0,JD 2623 VT,20',,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,114,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.3,12.345749999999999
2018-09-07,New Holland T8.435,380.0,JD 2623 VT,20',,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,115,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.6,12.64575
2018-09-10,,,,,,Severe Hail Damage,—,—,0.0,0.0,0.0,Event marker (no operation),CT,,0.0,116,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.6,12.64575
2018-09-14,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,118,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.80625,12.851999999999999
2018-09-14,JD 7820,189.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,117,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.8375,12.883249999999999
2018-09-14,JD 4455,156.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,119,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2018-09-14,JD 4440,144.0,Simplot Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,120,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2018-09-15,,,Great Plains Drill,4 row,Custom this out,Drill Wheat,,,,,,,CT,,0.0,121,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-04-24,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,122,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-05-31,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,123,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-06-26,,,,,,Pesticide Application*,,,,,,,CT,,0.0,124,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-06-27,,,,,,Pesticide Application*,,,,,,,CT,,0.0,125,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-07-18,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,126,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-07-19,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,127,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-07-23,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,128,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-08-02,Case 2166 Combine,,,,"Maybe custom this? Or say a combine, the same we use the next year",Harvest Wheat,,,,,,,CT,,0.0,129,9.0,2018-09-04 00:00:00.000000000,2019-08-02,winter wheat,0.9075,12.953249999999999
2019-08-03,,,JD 568 Round Baler 5x6,,,Chop + Bale Straw,,,,,,,CT,,0.0,130,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,0.0,12.953249999999999
2019-10-07,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,131,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,0.0,12.953249999999999
2019-11-08,JD 8345R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,132,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,0.3,13.25325
2019-11-20,New Holland T8.435,380.0,Great Plains Subsoiler,~20',,Subsoil Rip,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,CT,,0.4375,133,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,0.7375,13.69075
2019-11-23,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,134,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.45,14.40325
2019-11-24,JD 7820,189.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,135,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.48125,14.4345
2019-11-25,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,136,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.66875,14.622
2020-04-01,JD 6125R,125.0,PV COOP Spreader Cart,,Looks to be combined with the strip tiller,Fertilizer Application,,,,,,,CT,,0.0,137,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.66875,14.622
2020-04-09,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,138,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.875,14.828249999999999
2020-04-09,JD 7820,189.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,139,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-04-28,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant Grain Corn,,,,,,,CT,,0.0,140,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-04-30,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,141,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-06-02,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,142,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-06-17,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,143,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-06-19,JD 7820,189.0,Red Pipe Ditcher,6 row,,Pipe Ditcher,,,,,,,CT,,0.0,144,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-10-09,Case 2166 Combine,,,,,Harvest Grain Corn,,,,,,,CT,,0.0,145,10.0,2019-08-02 00:00:00.000000000,2020-10-09,grain corn,1.945,14.898249999999999
2020-10-21,,,JD 568 Round Baler 5x6,,,Bale,,,,,,,CT,,0.0,147,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,0.0,14.898249999999999
2020-10-21,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,Shred Stalks,,,,,,,CT,,0.0,146,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,0.0,14.898249999999999
2020-10-22,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,148,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,0.3,15.19825
2021-03-08,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,149,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,0.6,15.498249999999999
2021-03-09,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,150,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.3125,16.210749999999997
2021-03-11,JD 6155R,155.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,151,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.34375,16.241999999999997
2021-03-11,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,152,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.53125,16.429499999999997
2021-03-12,JD 6155R,155.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,153,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.5625,16.460749999999997
2021-04-07,JD 6155R,155.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,154,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.59375,16.491999999999997
2021-04-08,JD 6125R,125.0,PV COOP Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,155,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.59375,16.491999999999997
2021-04-09,JD 6155R,155.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,156,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.7999999999999998,16.698249999999998
2021-04-09,JD 8245R,245.0,Perfecta Field Cultivator,24',,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,157,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.821875,16.720125
2021-04-12,JD 6130R,130.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,158,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.891875,16.790125
2021-04-13,JD 6130R,130.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,159,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9618749999999998,16.860125
2021-04-27,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,Plant Grain Corn,,,,,,,CT,,0.0,160,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9618749999999998,16.860125
2021-05-25,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,161,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9618749999999998,16.860125
2021-06-10,,,,,,Fertilizer Application,,,,,,,CT,,0.0,162,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9618749999999998,16.860125
2021-06-18,JD 6195R,195.0,Red Pipe Ditcher,6 row,,Clean Furrows,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,CT,,0.0159375,164,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9778125,16.8760625
2021-06-18,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,163,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9996874999999998,16.897937499999998
2021-07-23,,,,,,Pesticide and Fertilizer Application,,,,,,,CT,,0.0,165,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9996874999999998,16.897937499999998
2021-10-22,Case 2166 Combine,,,,,Harvest Grain,,,,,,,CT,,0.0,166,11.0,2020-10-09 00:00:00.000000000,2021-10-22,grain corn,1.9996874999999998,16.897937499999998
2021-10-29,,,JD 568 Round Baler 5x6,,,Bale,,,,,,,CT,,0.0,168,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,0.0,16.897937499999998
2021-10-29,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,Shred and Chop,,,,,,,CT,,0.0,167,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,0.0,16.897937499999998
2021-11-23,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,169,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,0.3,17.1979375
2021-11-25,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,170,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,0.6,17.4979375
2021-11-29,New Holland T8.435,380.0,Great Plains Subsoiler,,,Subsoil Rip,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,CT,,0.4375,171,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,1.0375,17.9354375
2021-11-30,JD 6155R,155.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,173,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,1.06875,17.9666875
2021-11-30,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,172,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,1.78125,18.679187499999998
2021-12-03,JD 6195R,195.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,175,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,1.8125,18.710437499999998
2021-12-03,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,174,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.0,18.897937499999998
2022-04-11,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,177,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.20625,19.1041875
2022-04-11,JD 6130R,130.0,Perfecta Field Cultivator,15',,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,176,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.228125,19.1260625
2022-04-11,JD 6125R,125.0,Loader Agfinity Spreader Cart,,,Fertilizer Application,,,,,,,CT,,0.0,178,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.228125,19.1260625
2022-04-12,JD 6130R,130.0,Schmizer,,,Cultipack,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,CT,,0.06999999999999999,179,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.2981249999999998,19.1960625
2022-04-29,JD 6130R,130.0,Monosem NG+4 6 row,6 row,,Plant Grain Corn w/ Optistart Gold,,,,,,,CT,,0.0,180,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.2981249999999998,19.1960625
2022-06-07,,,,,,Pesticide Application,—,—,0.0,0.0,0.0,Non-tillage,CT,,0.0,181,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.2981249999999998,19.1960625
2022-06-13,JD 6125R,125.0,Red Pipe Ditcher,6 row,,Clean Furrows,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,CT,,0.0159375,183,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.3140625,19.212
2022-06-13,JD 8295R,295.0,Hiniker 6 row cultivator,6 row,,Cultivate,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),CT,,0.021875,182,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.3359375,19.233874999999998
2022-06-13,JD 6195R,195.0,Yetter 12 row liquid applicator ,12 row,,Fertilizer Application,,,,,,,CT,,0.0,184,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.3359375,19.233874999999998
2022-10-24,Case 2166 Combine,,,,,Harvest Grain,,,,,,,CT,,0.0,185,12.0,2021-10-22 00:00:00.000000000,2022-10-24,grain corn,2.3359375,19.233874999999998
2022-11-02,,,JD 560M Round Baler,,,Chop and Bale,,,,,,,CT,,0.0,187,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,0.0,19.233874999999998
2022-11-02,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,Shred and Windrow,,,,,,,CT,,0.0,186,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,0.0,19.233874999999998
2022-11-10,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,CT,,0.7124999999999999,188,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,0.7124999999999999,19.946375
2022-11-10,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,Vertical Till,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),CT,,0.3,189,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,1.0125,20.246375
2022-11-11,JD 6155R,155.0,Brillon Mulcher,25',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,190,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,1.04375,20.277625
2023-03-16,JD 6155R,155.0,Brillon Mulcher,15',,Cultimulch,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),CT,,0.03125,191,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,1.075,20.308875
2023-03-20,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Landplane,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),CT,,0.1875,192,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,1.2625,20.496375
2023-04-13,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Condition Seedbeds,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,CT,,0.20625000000000002,194,13.0,2022-10-24 00:00:00.000000000,2023-09-08,silage corn,1.46875,20.702624999999998
