Date,CT Operation,ST Operation,MT Operation,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,CT SWAT Implement,CT Tillage Code,CT Mixing Depth (mm),CT Mixing Efficiency,CT Area Fraction,CT Type / Note,ST SWAT Implement,ST Tillage Code,ST Mixing Depth (mm),ST Mixing Efficiency,ST Area Fraction,ST Type / Note,MT SWAT Implement,MT Tillage Code,MT Mixing Depth (mm),MT Mixing Efficiency,MT Area Fraction,MT Type / Note
3/1/2016,Fertilizer Application,Strip Till + Fertilizer Application*,Fertilizer Application,JD 7820,189.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,,,,,,,,,,,,
3/2/2016,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
3/2/2016,Cultimulch,,,JD 4450,158.0,Dunham Lehr Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/2/2016,Cultipack,Cultipack,Cultipack,JD 4455,156.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
3/3/2016,Plant Barley,Plant Barley,Plant Barley,,,Foundation Seed Drill,,"This wasn't a custom job, but probably makes sense to custom this out",,,,,,,,,,,,,,,,,,
5/5/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
7/25/2016,Harvest Barley,Harvest Barley,Harvest Barley,1660 Combine,,,,,,,,,,,,,,,,,,,,,,
7/26/2016,Bale Straw,Bale Straw,Bale Straw,,,JD 568 Round Baler 5x6,,,,,,,,,,,,,,,,,,,,
9/2/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
9/3/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
3/10/2017,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
3/10/2017,Cultimulch,,,JD 7820,189.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/14/2017,Cultimulch,,,JD 4455,156.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/14/2017,Landplane,,,JD 8245R,245.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
4/10/2017,Cultimulch w/ Pre-plant Fertilizer,,,JD 4440,144.0,Brillon Mulcher,15',,,,,,,,,,,,,,,,,,,
4/10/2017,,Pre-Plant Fertilizer,Pre-Plant Fertilizer,,,PV COOP Airflow,,,,,,,,,,,,,,,,,,,,
4/13/2017,,Strip Till + Fert,Strip Till + Fert,JD 8295R,295.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,,,,,,,,,,,,
4/13/2017,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
4/13/2017,Cultimulch,,,JD 4440,144.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/14/2017,,,Cultimulch,JD 4440,144.0,Schmizer,,,,,,,,,,,,,,,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser)
4/19/2017,Plant Silage Corn,Plant Silage Corn,Plant Silage Corn,JD 7820,189.0,7300 6 row,6 row,,,,,,,,,,,,,,,,,,,
6/21/2017,,Sidedress Fert,Sidedress Fert,JD 4010,89.0,Schaben 12 row 3pt sprayer,12 row,,,,,,,,,,,,,,,,,,,
6/21/2017,Cultivate,Cultivate,Cultivate,JD 7820,189.0,Eversman 1076 6 Row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
10/13/2017,Harvest Silage Corn,Harvest Silage Corn,Harvest Silage Corn,JD 7980 Forage Harvester,,Kraft,,,,,,,,,,,,,,,,,,,,
11/21/2017,Vertical Till,,,JD 8245R,245.0,JD 2623VT,~26.5 - 40.67',,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),,,,,,,,,,,,
3/23/2018,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
3/26/2018,Cultimulch,,,JD 6130R,130.0,Brillion Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/3/2018,Cultimulch,,,JD 6130R,130.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/3/2018,Landplane,,,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
4/18/2018,Cultimulch,,,JD 6130R,130.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
5/1/2018,Fertilizer Application,,,JD 4440,144.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
5/15/2018,Cultivate,Cultivate,Cultivate,JD 8295R,295.0,Perfecta Field Cultivator,24',,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
5/15/2018,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
5/17/2018,Corrugator #1,Corrugator #1,Corrugator #1,JD 7820,189.0,Corrugator #1,,,,,,,,,,,,,,,,,,,,
5/18/2018,,Strip Till + Fertilize,Strip Till + Fertilize,JD 8295R,295.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (same as Strip Till; nutrients tracked separately),Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (same as Strip Till; nutrients tracked separately)
5/18/2018,,Cultipack,Cultipack*,JD 6130R,130.0,Schmizer,,,,,,,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,
5/18/2018,Plant Dry Beans,Plant Dry Beans,Plant Dry Beans,,,JD 1710 Max Emerge 12 Row ,12 row,,,,,,,,,,,,,,,,,,,
6/25/2018,Cultivate,Cultivate,Cultivate,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/26/2018,Pipe Ditch,Pipe Ditch,Pipe Ditch,JD 4455,156.0,Red Pipe Ditcher,6 row,,,,,,,,,,,,,,,,,,,
7/17/2018,Cultivate,Cultivate,Cultivate,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
8/30/2018,Knife Dry Beans,Knife Dry Beans,Knife Dry Beans,Pickett 6030 OneStep 6Row,,,,Probably make sense to custom this out,—,—,0.0,0.0,0.0,Non-tillage (undercutter/knife pre-harvest; treat as zero mixing),—,—,0.0,0.0,0.0,Non-tillage (undercutter/knife pre-harvest; treat as zero mixing),—,—,0.0,0.0,0.0,Non-tillage (undercutter/knife pre-harvest; treat as zero mixing)
9/4/2018,Harvest Dry Beans,Harvest Dry Beans,Harvest Dry Beans,Case 1660 Combine,,Case 1660 Combine,,,,,,,,,,,,,,,,,,,,
9/7/2018,Vertical Till,Vertical Till,Vertical Till,New Holland T8.435,380.0,JD 2623 VT,20',,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
9/7/2018,Vertical Till,Vertical Till,Vertical Till,New Holland T8.435,380.0,JD 2623 VT,20',,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
9/10/2018,Severe Hail Damage,Severe Hail Damage,Severe Hail Damage,,,,,,—,—,0.0,0.0,0.0,Event marker (no operation),—,—,0.0,0.0,0.0,Event marker (no operation),—,—,0.0,0.0,0.0,Event marker (no operation)
9/14/2018,Cultimulch,Cultimulch,Cultimulch,JD 7820,189.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser)
9/14/2018,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
9/14/2018,Cultipack,Cultipack,Cultipack,JD 4455,156.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
9/14/2018,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144.0,Simplot Spreader Cart,,,,,,,,,,,,,,,,,,,,
9/15/2018,Drill Wheat,Drill Wheat,Drill Wheat,,,Great Plains Drill,4 row,Custom this out,,,,,,,,,,,,,,,,,,
4/24/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
5/31/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/26/2019,Pesticide Application*,Pesticide Application,Pesticide Application,,,,,,,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/27/2019,Pesticide Application*,Pesticide Application,Pesticide Application,,,,,,,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
7/18/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
7/19/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
7/23/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
8/2/2019,Harvest Wheat,Harvest Wheat,Harvest Wheat,Case 2166 Combine,,,,"Maybe custom this? Or say a combine, the same we use the next year",,,,,,,,,,,,,,,,,,
8/3/2019,Chop + Bale Straw,Chop + Bale Straw,Chop + Bale Straw,,,JD 568 Round Baler 5x6,,,,,,,,,,,,,,,,,,,,
10/7/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
11/8/2019,Vertical Till,,,JD 8345R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),,,,,,,,,,,,
11/20/2019,Subsoil Rip,,,New Holland T8.435,380.0,Great Plains Subsoiler,~20',,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,,,,,,,,,,,,
11/23/2019,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
11/24/2019,Cultimulch,,,JD 7820,189.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
11/25/2019,Landplane,,,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
4/1/2020,,Strip Till,,JD 8295R,295.0,6 Row Orthoman 1tRIPr,6 row,,,,,,,,Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (banded; use AreaFraction = strip_width/row_spacing),,,,,,
4/1/2020,,,Row Clean,JD 6125R,145.0,"Row Cleaner 4-60"" rows",,,,,,,,,,,,,,,Row Conditioner,ROWCOND,25.0,0.5,0.17,Tillage
4/1/2020,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125.0,PV COOP Spreader Cart,,Looks to be combined with the strip tiller,,,,,,,,,,,,,,,,,,
4/9/2020,Condition Seedbeds,,,JD 7820,189.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,,,,,,,,,,,,
4/9/2020,Cultipack,,,JD 7820,189.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,,,,,,
4/28/2020,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,,,,,,,,,,,,,,,,,,
4/30/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/2/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/17/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/18/2020,,Cultivate,Cultivate,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,,,,,,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/19/2020,Pipe Ditcher,Pipe Ditcher,Pipe Ditcher,JD 7820,189.0,Red Pipe Ditcher,6 row,,,,,,,,,,,,,,,,,,,
10/9/2020,Harvest Grain Corn,Harvest Grain Corn,Harvest Grain Corn,Case 2166 Combine,,,,,,,,,,,,,,,,,,,,,,
10/21/2020,Shred Stalks,Shred Stalks,Shred Stalks,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,,,,,,,,,,,,,,,,,,
10/21/2020,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,,,,,,,,,,,,,,,,,,,
10/22/2020,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
3/8/2021,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
3/9/2021,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
3/11/2021,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/11/2021,Landplane,,,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
3/12/2021,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/7/2021,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
