Date,CT Operation,ST Operation,MT Operation,Tractor Model,Horsepower,Implement Model,Implement Size,Notes,CT SWAT Implement,CT Tillage Code,CT Mixing Depth (mm),CT Mixing Efficiency,CT Area Fraction,CT Type / Note,ST SWAT Implement,ST Tillage Code,ST Mixing Depth (mm),ST Mixing Efficiency,ST Area Fraction,ST Type / Note,MT SWAT Implement,MT Tillage Code,MT Mixing Depth (mm),MT Mixing Efficiency,MT Area Fraction,MT Type / Note
4/8/2021,Fertilizer Application,,,JD 6125R,125.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
4/9/2021,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 6155R,155.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
4/9/2021,Cultivate,,Cultivate,JD 8245R,245.0,Perfecta Field Cultivator,24',,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),,,,,,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
4/12/2021,Cultipack,,,JD 6130R,130.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,,,,,,
4/13/2021,Cultipack,,,JD 6130R,130.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,,,,,,
4/13/2021,,,Fertilizer Application,JD 6125R,125.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
4/13/2021,,Condition Seedbeds,,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,,,,,,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,,,,,,
4/13/2021,,Strip Till + Fertilizer Application,,JD 8295R,295.0,Kuhn Gladiator Strip Tiller,,,,,,,,,,,,,,,,,,,,
4/27/2021,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 6130R,130.0,Monosem NG+4 6 Row,6 row,,,,,,,,,,,,,,,,,,,
5/25/2021,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/10/2021,Fertilizer Application,Fertilizer Application,Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
6/18/2021,Cultivate,Cultivate,Cultivate,JD 6130R,130.0,Eversman 1076 6 Row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/18/2021,Clean Furrows,Clean Furrows,Clean Furrows,JD 6195R,195.0,Red Pipe Ditcher,6 row,,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage
6/18/2021,,Fertilizer Application,Fertilizer Application,JD 6195R,195.0,Yetter 12 row liquid applicator ,12 row,,,,,,,,,,,,,,,,,,,
7/23/2021,Pesticide and Fertilizer Application,Pesticide and Fertilizer Application,Pesticide and Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,Harvest Grain,Harvest Grain,Harvest Grain,Case 2166 Combine,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,Shred and Chop,Shred and Chop,Shred and Chop,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,,,,,,,,,,,,,,,,,,
10/29/2021,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,,,,,,,,,,,,,,,,,,,
11/23/2021,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
11/25/2021,Vertical Till,,,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),,,,,,,,,,,,
11/29/2021,Subsoil Rip,Subsoil Rip,Subsoil Rip,New Holland T8.435,380.0,Great Plains Subsoiler,,,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage
11/30/2021,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
11/30/2021,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
12/3/2021,Landplane,,,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
12/3/2021,Cultimulch,,,JD 6195R,195.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/11/2022,Cultivate,,,JD 6130R,130.0,Perfecta Field Cultivator,15',,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),,,,,,,,,,,,
4/11/2022,,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,,,,,,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
4/11/2022,,Strip Till,,JD 8245R,245.0,Kuhn Gladiator Strip Tiller,,,,,,,,,Coulter-Chisel,CCHPLOW,150.0,0.5,0.27,Tillage (banded; use AreaFraction = strip_width/row_spacing),,,,,,
4/11/2022,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
4/11/2022,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125.0,Loader Agfinity Spreader Cart,,,,,,,,,,,,,,,,,,,,
4/12/2022,Cultipack,Cultipack,Cultipack,JD 6130R,130.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
4/29/2022,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,JD 6130R,130.0,Monosem NG+4 6 row,6 row,,,,,,,,,,,,,,,,,,,
6/7/2022,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/13/2022,Cultivate,Cultivate,Cultivate,JD 8295R,295.0,Hiniker 6 row cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/13/2022,Clean Furrows,Clean Furrows,Clean Furrows,JD 6125R,125.0,Red Pipe Ditcher,6 row,,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage
6/13/2022,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,195.0,Yetter 12 row liquid applicator ,12 row,,,,,,,,,,,,,,,,,,,
10/24/2022,Harvest Grain,Harvest Grain,Harvest Grain,Case 2166 Combine,,,,,,,,,,,,,,,,,,,,,,
11/2/2022,Shred and Windrow,Shred and Windrow,Shred and Windrow,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,,,,,,,,,,,,,,,,,,,
11/2/2022,Chop and Bale,Chop and Bale,Chop and Bale,,,JD 560M Round Baler,,,,,,,,,,,,,,,,,,,,
11/10/2022,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
11/10/2022,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
11/11/2022,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/16/2023,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,15',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/20/2023,Landplane,,,JD 8295R,295.0,Art's Way 2400 Landplane,24',,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
4/13/2023,Cultimulch,,,JD 6195R,195.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
4/13/2023,Condition Seedbeds, ,Condition Seedbeds,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,,,,,,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
4/13/2023,Fertilizer Application,,Fertilizer Application,JD 6125R,125.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
4/14/2023,Cultipack,,Cultipack,JD 6130R,130.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
4/14/2023,,Strip Till + Fertilizer Application,,JD 8295R,295.0,Kuhn Gladiator Strip Tiller,,,,,,,,,,,,,,,,,,,,
5/2/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,195.0,JD 7300 6 Row,6 row,,,,,,,,,,,,,,,,,,,
5/2/2023,Plant Silage Corn,Plant Silage Corn,Plant Silage Corn,JD 6195R,195.0,JD 7300 6 Row,6 row,"This is one operation, planting with an optistart addition",,,,,,,,,,,,,,,,,,
5/31/2023,Pesticide Application,Pesticide Application,Pesticide Application,,,,,,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage,—,—,0.0,0.0,0.0,Non-tillage
6/26/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 8245R,245.0,Yetter 12 row liquid applicator ,12 row,"This is labelled pre-plant, but obviously comes quite a bit later. I think we're also putting this on a cultivator",,,,,,,,,,,,,,,,,,
6/28/2023,Cultivate,Cultivate,Cultivate,JD 6155R,155.0,Hiniker 6 row cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/28/2023,Pipe Ditch,Pipe Ditch,Pipe Ditch,JD 6125R,125.0,Red Piper Ditcher 6 Row,6 row,,,,,,,,,,,,,,,,,,,
9/8/2023,Harvest Silage Corn,Harvest Silage Corn,Harvest Silage Corn,Custom Silage Harvester,,,,,,,,,,,,,,,,,,,,,,
9/12/2023,Vertical Till,Vertical Till,Vertical Till,JD 8295R,295.0,Landoll 7530 VT Plus Disc,~ 26' +,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
9/12/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125.0,PV COOP Spreader Cart,,,,,,,,,,,,,,,,,,,,
9/13/2023,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245.0,Hawkins 6 Row Bedder,6 row,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
9/13/2023,Cultipack,Cultipack,Cultipack,JD 6125 R,125.0,Schmizer,,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
9/13/2023,Plant Hard Red Winter Wheat,Plant Hard Red Winter Wheat,Plant Hard Red Winter Wheat,,,Air Seeder APV 20',,Custom this out,,,,,,,,,,,,,,,,,,
11/20/2024,Subsoil Rip,,,New Holland T8.435,,Great Plains Subsoiler,,,Deep Ripper–Subsoiler,RIPRSUBS,350.0,0.25,1.0,Tillage,,,,,,,,,,,,
11/20/2024,,Vertical Till,Vertical Till,JD 8245R,245.0,Landoll 7530 VT Plus Disc,~26' +,,,,,,,,One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light),One-Way (Disk Tiller),ONE-WAYT,100.0,0.6,1.0,Tillage (VT proxy; use OFFSETLT 100/0.55 if very light)
11/21/2024,Moldboard Plow,,,JD 8295R,295.0,Case 165 6 Bottom Plow,,,Moldboard Plow (Reg),MLDBOARD,150.0,0.95,1.0,Tillage,,,,,,,,,,,,
11/23/2024,Cultimulch,,,JD 6195R,195.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
11/24/2024,Cultimulch,,,JD 6195R,195.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
11/25/2024,Landplane,,,JD 8295R,295.0,Schmeiser Varitrak Folding Landplane,,,Land Plane–Leveler,LANDLEVL,75.0,0.5,1.0,Tillage (leveling/seedbed),,,,,,,,,,,,
3/25/2025,Cultimulch,,,JD 6155R,155.0,Brillon Mulcher,25',,Culti-mulch Roller,CULMULCH,25.0,0.25,1.0,Tillage (Brillion/Dunham/Schmeiser),,,,,,,,,,,,
3/26/2025,,Condition Seedbeds,,JD 8245R,245.0,Hawkins 6 Row Bedder,,,,,,,,,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,,,,,,
3/26/2025,Cultipack,,,JD 6130R,130.0,"Schmizer / 3""",,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,,,,,,,,,,,,
3/26/2025,Cultipack,Cultipack,Cultipack,JD 6130R,130.0,"Schmizer /1""",,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
3/27/2025,Fertilizer Application,,Fertilizer Application,,,PV COOP Spreader Cart,,"11-52-0 MAP, 46-0-0 UREA dry blend",,,,,,,,,,,,,,,,,,
3/27/2025,,Clean Furrows,Clean Furrows,JD 6125R,125.0,Red Pipe Ditcher,,,,,,,,,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage
4/10/2025,,Fertilizer Application,,JD 6195R,195.0,JD 7300 6 Row,,"10-34-0, 32-0-0 UAN",,,,,,,,,,,,,,,,,,
4/10/2025,,Strip till,,JD 8295R,295.0,Kuhn Gladiator Strip Tiller,,,,,,,,,,,,,,,,,,,,
4/11/2025,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,,Hawkins 6 Row Bedder,,"Hawkins 6 Row Bedder / 3.00 """,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage,Soil Finisher,SOILFINS,75.0,0.55,1.0,Tillage
4/11/2025,Cultipack,Cultipack,Cultipack,JD 6130R,130.0,"Schmizer /1""",,,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass,Culti-packer Pulverizer,CULPKPUL,40.0,0.35,1.0,Tillage/firming pass
4/24/2025,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,JD 6130R,130.0,Monosem NG+4 6 row,6 row,,,,,,,,,,,,,,,,,,,
6/23/2025,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,,LMC 12 Row Nutrient Applicator,,32-0-0 UAN 50.00 Lbs / Ac,,,,,,,,,,,,,,,,,,
6/24/2025,Clean Furrows,Clean Furrows,Clean Furrows,JD 6125R,125.0,Red Pipe Ditcher,,,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage,Furrow-out Cultivator,FUROWOUT,25.0,0.75,0.17,Tillage
6/24/2025,Cultivate,Cultivate,Cultivate,JD 6130R,,Eversman 1076 6 Row Cultivator,6 row,,Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows),Row Cultivator,ROWCULT,25.0,0.25,0.7,Tillage (between rows)
6/24/2025,Pack Furrows,Pack Furrows,Pack Furrows,JD 5055E,156.0,Pipe Ditcher,,,Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows),Roller Packer (Flat Roller),ROLPKRFT,40.0,0.35,0.3,Tillage (packing/firming furrows)
