Date,CT Operation,ST Operation,MT Operation,Tractor Model,Horsepower,Implement Model,Implement Size,Notes
1/1/2011,,Strip Till,,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
1/1/2011,Deep Ripper,,,JD 8310,205,JD 915 V Ripper,~ 18.75 - 22.5 ft,https://www.sunequip.com/new-equipment/farming-equipment/tillage/rippers/915-v-ripper/
1/1/2011,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
3/3/2011,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,"For 2011 and 2012, we don't have super detailed records of tools, so I'll just use what we used for later years"
3/3/2011,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,
3/15/2011,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
3/15/2011,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
4/2/2011,Ditch,,,JD 4455,156,Pipe Ditcher,6 row,
4/5/2011,Cultipack,,,JD 4455,156,JD 970 Cultipacker,,
5/4/2011,Plant,Plant,Plant,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/4/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/9/2011,,,Clean Rows,JD 7820,189,Acraplant Trash whips,,"No clue what trashwhips actually need, but this looks like a very mild unit, so I'm going with a low horespower tractor"
5/16/2011,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/23/2011,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144,PV COOP Spreader Cart,,
6/27/2011,Cultivate,Cultivate,Cultivate,JD 4455,156,Eversman 6 row Cultivator,6 row,
11/15/2011,Harvest,Harvest,Harvest,1660 Combine,,,,
11/29/2011,Chop and Windrow,Chop and Windrow,Chop and Windrow,,,Alloway Flail Shredder,,
11/29/2011,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
11/30/2011,Disc,,,JD 7820,189,JD 640 Disc,15',
3/5/2012,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
3/8/2012,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,
3/8/2012,Harrow,,,JD 7820,180,6 row Orthman Cultivator 8375,6 row,
3/14/2012,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
3/14/2012,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
3/14/2012,,Clean Furrows,,JD 7820,189,Acraplant Trash whips,,
3/16/2012,,Strip Till,,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
4/13/2012,Ditch,,,JD 4455,156,Pipe Ditcher,6 row,
4/13/2012,Condition Seedbeds,,,JD 7820,189,Hawkins 6 Row Bedder,6 row,
5/1/2012,,,Clean Rows,JD 7820,189,Acraplant Trash whips,,
5/3/2012,Plant,Plant,Plant,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/3/2012,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144,PV COOP Spreader Cart,,
5/10/2012,Pack Furrows,,,JD 4455,156,Pipe Ditcher,6 row,
5/10/2012,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/4/2012,Pack Furrows,Pack Furrows,,JD 4455,156,Pipe Ditcher,6 row,
6/11/2012,,Clean Rows,Clean Rows,JD 7820,189,Acraplant Trash whips,,
6/20/2012,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/26/2012,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144,PV COOP Spreader Cart,,
6/26/2012,Cultivate,Cultivate,Cultivate,JD 4455,156,Eversman 6 row Cultivator,6 row,
11/1/2012,Harvest,Harvest,Harvest,1660 Combine,,,,
11/15/2012,Chop and Windrow,Chop and Windrow,Chop and Windrow,,,Alloway Flail Shredder,,
11/15/2012,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
12/8/2012,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
12/8/2012,,Strip Till,,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
3/11/2013,Landplane,,,JD 7820,189,Eversman 2400 Landplane,24',
3/29/2013,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 7820,189,Hawkins 6 Row Bedder,6 row,
3/29/2013,Cultipack,Cultipack,Cultipack,JD 4455,156,Schmizer,,
5/13/2013,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 7820,189,7300 6 Row,6 row,
5/14/2013,Plant Silage Corn,Plant Silage Corn,Plant Silage Corn,JD 7820,189,7300 6 Row,6 row,"I believe these operations are combined, planter with liquid UAN (NOT UREA) put down behind at 5 lbs/acre"
6/2/2013,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/19/2013,Fertilizer Application/Cultivate,Fertilizer Application/Cultivate,Fertilizer Application/Cultivate,JD 7820,189,6 row Orthman Cultivator 8375,6 row,
7/24/2013,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
9/30/2013,Harvest Silage Corn,Harvest Silage Corn,Harvest Silage Corn,JD 7980 Forage Harvester,,Kraft,,
10/2/2013,Vertical Disc,,,JD 7820,189,JD 640 Disc,15',
10/9/2013,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
11/18/2013,Cultimulch,,,JD 8310,205,Brillon Mulcher,25',
3/20/2014,Cultimulch,,,JD 4455,156,Dunham Lehr Mulcher,15',
3/27/2014,Landplane,,,JD 8310,205,Eversman 2400 Landplane,24',
4/3/2014,Vertical Ripper,Vertical Ripper,Vertical Ripper,JD 8310,205,JD 915 V Ripper,~ 18.75 - 22.5 ft,
4/11/2014,Cultimulch,,,JD 8310,205,Brillon Mulcher,15',
4/11/2014,Seedbed Conditioner,,,JD 7820,189,Hawkins 6 Row Bedder,6 rows,
4/11/2014,Cultimulch,,,JD 4440,144,Schmizer,,
5/6/2014,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 7820,189,7300 6 row,6 row,
6/3/2014,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/25/2014,Cultivate,Cultivate,Cultivate,JD 7820,180,6 row Orthman Cultivator 8375,6 row,
12/2/2014,Harvest Grain Corn,Harvest Grain Corn,Harvest Grain Corn,1660 Combine,,,,"Maybe custom this? Or say a combine, the same we use the next year"
12/2/2014,Shred Stalks,Shred Stalks,Shred Stalks,,,Alloway Flail Shredder,,
12/2/2014,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
3/23/2015,Disc,,,JD 7820,180,JD 640 Disc,15',
3/23/2015,,,Vertical Till,,,,,
3/23/2015,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
3/27/2015,Cultimulch,Cultimulch,Cultimulch,JD 4440,144,Dunham Lehr Mulcher,15',
4/13/2015,,Strip till,Strip till,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
4/13/2015,,Fertilizer Application w/strip till,Fertilizer Application? w/ strip till,JD 7820,189,Simplot Liquid Shuttle,,
4/14/2015,Seedbed condition,,,JD 7820,189,Hawkins 6 Row Bedder,6 row,
4/14/2015,Cultimulch,,,JD 4440,144,Dunham Lehr Mulcher,15',
4/14/2015,Fertilizer Application,,,JD 6400,100,PV COOP Spreader Cart,,
4/30/2015,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 7820,189,7300 6 row,6 row,
6/9/2015,Pesticide Application,Pesticide Application,Pesticide Application,NA,NA,NA,NA,
6/24/2015,Cultivate,Cultivate,Cultivate,JD 4455,156,Eversman 6 row Cultivator,6 row,
6/24/2015,,Pipe Ditch,Pipe Ditch,JD 4455,156,Pipe Ditcher,6 row,
11/16/2015,Harvest Grain Corn,Harvest Grain Corn,Harvest Grain Corn,1660 Combine,,,,
11/23/2015,Shred Stalks,Shred Stalks,Shred Stalks,,,Alloway Flail Shredder,,
11/23/2015,Bale Stalks,Bale Stalks,Bale Stalks,,,JD 568 Round Baler 5x6,,
11/25/2015,Disc,,,Case Magnum 350 Trimble,350,Kuhn Disc,,Looks like a custom job?
12/11/2015,Deep Ripper,Deep Ripper,Deep Ripper,JD 4455,156,2 Shank Deep Ripper,,
12/11/2015,Vertical Till,Vertical Till,Vertical Till,JD 8345R,345,Landoll VT - Kraft,,"Don't know the tractor, but I say the one I use later. I'll end up combining implements anyway"
12/11/2015,,,Vertical Till,JD 8345R,345,Landoll VT - Kraft,,
12/11/2015,Moldboard Plow,,,JD 8310,205,Case 165 6 Bottom Plow,,
2/22/2016,Cultimulch,,,JD 8310,205,Brillon Mulcher,15',
2/24/2016,Landplane,,,JD 8310,205,Eversman 2400 Landplane,24',
3/1/2016,Fertilizer Application,Strip Till + Fertilizer Application*,Fertilizer Application,JD 7820,189,6 Row Orthoman 1tRIPr,6 row,
3/2/2016,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 7820,189,Hawkins 6 Row Bedder,6 row,
3/2/2016,Cultimulch,,,JD 4450,158,Dunham Lehr Mulcher,15',
3/2/2016,Cultipack,Cultipack,Cultipack,JD 4455,156,Schmizer,,
3/3/2016,Plant Barley,Plant Barley,Plant Barley,,,Foundation Seed Drill,,"This wasn't a custom job, but probably makes sense to custom this out"
5/5/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
7/25/2016,Harvest Barley,Harvest Barley,Harvest Barley,1660 Combine,,,,
7/26/2016,Bale Straw,Bale Straw,Bale Straw,,,JD 568 Round Baler 5x6,,
9/2/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
9/3/2016,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
3/10/2017,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
3/10/2017,Cultimulch,,,JD 7820,189,Brillon Mulcher,25',
3/14/2017,Cultimulch,,,JD 4455,156,Brillon Mulcher,15',
3/14/2017,Landplane,,,JD 8245R,245,Art's Way 2400 Landplane,24',
4/10/2017,Cultimulch w/ Pre-plant Fertilizer,,,JD 4440,144,Brillon Mulcher,15',
4/10/2017,,Pre-Plant Fertilizer,Pre-Plant Fertilizer,,,PV COOP Airflow,,
4/13/2017,,Strip Till + Fert,Strip Till + Fert,JD 8295R,295,6 Row Orthoman 1tRIPr,6 row,
4/13/2017,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 7820,189,Hawkins 6 Row Bedder,6 row,
4/13/2017,Cultimulch,,,JD 4440,144,Brillon Mulcher,15',
4/14/2017,,,Cultimulch,JD 4440,144,Schmizer,,
4/19/2017,Plant Silage Corn,Plant Silage Corn,Plant Silage Corn,JD 7820,189,7300 6 row,6 row,
6/21/2017,,Sidedress Fert,Sidedress Fert,JD 4010,89,Schaben 12 row 3pt sprayer,12 row,
6/21/2017,Cultivate,Cultivate,Cultivate,JD 7820,189,Eversman 1076 6 Row Cultivator,6 row,
10/13/2017,Harvest Silage Corn,Harvest Silage Corn,Harvest Silage Corn,JD 7980 Forage Harvester,,Kraft,,
11/21/2017,Vertical Till,,,JD 8245R,245,JD 2623VT,~26.5 - 40.67',
3/23/2018,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
3/26/2018,Cultimulch,,,JD 6130R,130,Brillion Mulcher,15',
4/3/2018,Cultimulch,,,JD 6130R,130,Brillon Mulcher,15',
4/3/2018,Landplane,,,JD 8295R,295,Art's Way 2400 Landplane,24',
4/18/2018,Cultimulch,,,JD 6130R,130,Brillon Mulcher,15',
5/1/2018,Fertilizer Application,,,JD 4440,144,PV COOP Spreader Cart,,
5/15/2018,Cultivate,Cultivate,Cultivate,JD 8295R,295,Perfecta Field Cultivator,24',
5/15/2018,Pesticide Application,Pesticide Application,Pesticide Application,NA,NA,NA,NA,
5/17/2018,Corrugator #1,Corrugator #1,Corrugator #1,JD 7820,189,Corrugator #1,,
5/18/2018,,Strip Till + Fertilize,Strip Till + Fertilize,JD 8295R,295,6 Row Orthoman 1tRIPr,6 row,
5/18/2018,,Cultipack,Cultipack*,JD 6130R,130,Schmizer,,
5/18/2018,Plant Dry Beans,Plant Dry Beans,Plant Dry Beans,,,JD 1710 Max Emerge 12 Row ,12 row,
6/25/2018,Cultivate,Cultivate,Cultivate,JD 6130R,130,Eversman 1076 6 Row Cultivator,6 row,
6/26/2018,Pipe Ditch,Pipe Ditch,Pipe Ditch,JD 4455,156,Red Pipe Ditcher,6 row,
7/17/2018,Cultivate,Cultivate,Cultivate,JD 6130R,130,Eversman 1076 6 Row Cultivator,6 row,
8/30/2018,Knife Dry Beans,Knife Dry Beans,Knife Dry Beans,Pickett 6030 OneStep 6Row,,,,Probably make sense to custom this out
9/4/2018,Harvest Dry Beans,Harvest Dry Beans,Harvest Dry Beans,Case 1660 Combine,,Case 1660 Combine,,
9/7/2018,Vertical Till,Vertical Till,Vertical Till,New Holland T8.435,380,JD 2623 VT,20',
9/7/2018,Vertical Till,Vertical Till,Vertical Till,New Holland T8.435,380,JD 2623 VT,20',
9/10/2018,Severe Hail Damage,Severe Hail Damage,Severe Hail Damage,,,,,
9/14/2018,Cultimulch,Cultimulch,Cultimulch,JD 7820,189,Brillon Mulcher,25',
9/14/2018,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245,Hawkins 6 Row Bedder,6 row,
9/14/2018,Cultipack,Cultipack,Cultipack,JD 4455,156,Schmizer,,
9/14/2018,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 4440,144,Simplot Spreader Cart,,
9/15/2018,Drill Wheat,Drill Wheat,Drill Wheat,,,Great Plains Drill,4 row,Custom this out
4/24/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
5/31/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/26/2019,Pesticide Application*,Pesticide Application,Pesticide Application,,,,,
6/27/2019,Pesticide Application*,Pesticide Application,Pesticide Application,,,,,
7/18/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
7/19/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
7/23/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
8/2/2019,Harvest Wheat,Harvest Wheat,Harvest Wheat,Case 2166 Combine,,,,"Maybe custom this? Or say a combine, the same we use the next year"
8/3/2019,Chop + Bale Straw,Chop + Bale Straw,Chop + Bale Straw,,,JD 568 Round Baler 5x6,,
10/7/2019,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
11/8/2019,Vertical Till,,,JD 8345R,245,Landoll 7530 VT Plus Disc,~26' +,
11/20/2019,Subsoil Rip,,,New Holland T8.435,380,Great Plains Subsoiler,~20',
11/23/2019,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
11/24/2019,Cultimulch,,,JD 7820,189,Brillon Mulcher,25',
11/25/2019,Landplane,,,JD 8295R,295,Art's Way 2400 Landplane,24',
4/1/2020,,Strip Till,,JD 8295R,295,6 Row Orthoman 1tRIPr,6 row,
4/1/2020,,,Row Clean,JD 6125R,145,"Row Cleaner 4-60"" rows",,
4/1/2020,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125,PV COOP Spreader Cart,,Looks to be combined with the strip tiller
4/9/2020,Condition Seedbeds,,,JD 7820,189,Hawkins 6 Row Bedder,6 row,
4/9/2020,Cultipack,,,JD 7820,189,Schmizer,,
4/28/2020,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 6130R,130,Monosem NG+4 6 Row,6 row,
4/30/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/2/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/17/2020,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/18/2020,,Cultivate,Cultivate,JD 6130R,130,Eversman 1076 6 Row Cultivator,6 row,
6/19/2020,Pipe Ditcher,Pipe Ditcher,Pipe Ditcher,JD 7820,189,Red Pipe Ditcher,6 row,
10/9/2020,Harvest Grain Corn,Harvest Grain Corn,Harvest Grain Corn,Case 2166 Combine,,,,
10/21/2020,Shred Stalks,Shred Stalks,Shred Stalks,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,
10/21/2020,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
10/22/2020,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
3/8/2021,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
3/9/2021,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
3/11/2021,Cultimulch,,,JD 6155R,155,Brillon Mulcher,15',
3/11/2021,Landplane,,,JD 8295R,295,Art's Way 2400 Landplane,24',
3/12/2021,Cultimulch,,,JD 6155R,155,Brillon Mulcher,15',
4/7/2021,Cultimulch,,,JD 6155R,155,Brillon Mulcher,25',
4/8/2021,Fertilizer Application,,,JD 6125R,125,PV COOP Spreader Cart,,
4/9/2021,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 6155R,155,Hawkins 6 Row Bedder,6 row,
4/9/2021,Cultivate,,Cultivate,JD 8245R,245,Perfecta Field Cultivator,24',
4/12/2021,Cultipack,,,JD 6130R,130,Schmizer,,
4/13/2021,Cultipack,,,JD 6130R,130,Schmizer,,
4/13/2021,,,Fertilizer Application,JD 6125R,125,PV COOP Spreader Cart,,
4/13/2021,,Condition Seedbeds,,JD 8245R,245,Hawkins 6 Row Bedder,6 row,
4/13/2021,,Strip Till + Fertilizer Application,,JD 8295R,295,Kuhn Gladiator Strip Tiller,,
4/27/2021,Plant Grain Corn,Plant Grain Corn,Plant Grain Corn,JD 6130R,130,Monosem NG+4 6 Row,6 row,
5/25/2021,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/10/2021,Fertilizer Application,Fertilizer Application,Fertilizer Application,,,,,
6/18/2021,Cultivate,Cultivate,Cultivate,JD 6130R,130,Eversman 1076 6 Row Cultivator,6 row,
6/18/2021,Clean Furrows,Clean Furrows,Clean Furrows,JD 6195R,195,Red Pipe Ditcher,6 row,
6/18/2021,,Fertilizer Application,Fertilizer Application,JD 6195R,195,Yetter 12 row liquid applicator ,12 row,
7/23/2021,Pesticide and Fertilizer Application,Pesticide and Fertilizer Application,Pesticide and Fertilizer Application,,,,,
10/22/2021,Harvest Grain,Harvest Grain,Harvest Grain,Case 2166 Combine,,,,
10/29/2021,Shred and Chop,Shred and Chop,Shred and Chop,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,
10/29/2021,Bale,Bale,Bale,,,JD 568 Round Baler 5x6,,
11/23/2021,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
11/25/2021,Vertical Till,,,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
11/29/2021,Subsoil Rip,Subsoil Rip,Subsoil Rip,New Holland T8.435,380,Great Plains Subsoiler,,
11/30/2021,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
11/30/2021,Cultimulch,,,JD 6155R,155,Brillon Mulcher,15',
12/3/2021,Landplane,,,JD 8295R,295,Art's Way 2400 Landplane,24',
12/3/2021,Cultimulch,,,JD 6195R,195,Brillon Mulcher,25',
4/11/2022,Cultivate,,,JD 6130R,130,Perfecta Field Cultivator,15',
4/11/2022,,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
4/11/2022,,Strip Till,,JD 8245R,245,Kuhn Gladiator Strip Tiller,,
4/11/2022,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245,Hawkins 6 Row Bedder,6 row,
4/11/2022,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125,Loader Agfinity Spreader Cart,,
4/12/2022,Cultipack,Cultipack,Cultipack,JD 6130R,130,Schmizer,,
4/29/2022,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,JD 6130R,130,Monosem NG+4 6 row,6 row,
6/7/2022,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/13/2022,Cultivate,Cultivate,Cultivate,JD 8295R,295,Hiniker 6 row cultivator,6 row,
6/13/2022,Clean Furrows,Clean Furrows,Clean Furrows,JD 6125R,125,Red Pipe Ditcher,6 row,
6/13/2022,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,195,Yetter 12 row liquid applicator ,12 row,
10/24/2022,Harvest Grain,Harvest Grain,Harvest Grain,Case 2166 Combine,,,,
11/2/2022,Shred and Windrow,Shred and Windrow,Shred and Windrow,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,
11/2/2022,Chop and Bale,Chop and Bale,Chop and Bale,,,JD 560M Round Baler,,
11/10/2022,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
11/10/2022,Vertical Till,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
11/11/2022,Cultimulch,,,JD 6155R,155,Brillon Mulcher,25',
3/16/2023,Cultimulch,,,JD 6155R,155,Brillon Mulcher,15',
3/20/2023,Landplane,,,JD 8295R,295,Art's Way 2400 Landplane,24',
4/13/2023,Cultimulch,,,JD 6195R,195,Brillon Mulcher,25',
4/13/2023,Condition Seedbeds,,Condition Seedbeds,JD 8245R,245,Hawkins 6 Row Bedder,6 row,
4/13/2023,Fertilizer Application,,Fertilizer Application,JD 6125R,125,PV COOP Spreader Cart,,
4/14/2023,Cultipack,,Cultipack,JD 6130R,130,Schmizer,,
4/14/2023,,Strip Till + Fertilizer Application,,JD 8295R,295,Kuhn Gladiator Strip Tiller,,
5/2/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,195,JD 7300 6 Row,6 row,
5/2/2023,Plant Silage Corn,Plant Silage Corn,Plant Silage Corn,JD 6195R,195,JD 7300 6 Row,6 row,"This is one operation, planting with an optistart addition"
5/31/2023,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
6/26/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 8245R,245,Yetter 12 row liquid applicator ,12 row,"This is labelled pre-plant, but obviously comes quite a bit later. I think we're also putting this on a cultivator"
6/28/2023,Cultivate,Cultivate,Cultivate,JD 6155R,155,Hiniker 6 row cultivator,6 row,
6/28/2023,Pipe Ditch,Pipe Ditch,Pipe Ditch,JD 6125R,125,Red Piper Ditcher 6 Row,6 row,
9/8/2023,Harvest Silage Corn,Harvest Silage Corn,Harvest Silage Corn,Custom Silage Harvester,,,,
9/12/2023,Vertical Till,Vertical Till,Vertical Till,JD 8295R,295,Landoll 7530 VT Plus Disc,~ 26' +,
9/12/2023,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6125R,125,PV COOP Spreader Cart,,
9/13/2023,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,245,Hawkins 6 Row Bedder,6 row,
9/13/2023,Cultipack,Cultipack,Cultipack,JD 6125 R,125,Schmizer,,
9/13/2023,Plant Hard Red Winter Wheat,Plant Hard Red Winter Wheat,Plant Hard Red Winter Wheat,,,Air Seeder APV 20',,Custom this out
11/20/2024,Subsoil Rip,,,New Holland T8.435,,Great Plains Subsoiler,,
11/20/2024,,Vertical Till,Vertical Till,JD 8245R,245,Landoll 7530 VT Plus Disc,~26' +,
11/21/2024,Moldboard Plow,,,JD 8295R,295,Case 165 6 Bottom Plow,,
11/23/2024,Cultimulch,,,JD 6195R,195,Brillon Mulcher,25',
11/24/2024,Cultimulch,,,JD 6195R,195,Brillon Mulcher,25',
11/25/2024,Landplane,,,JD 8295R,295,Schmeiser Varitrak Folding Landplane,,
3/25/2025,Cultimulch,,,JD 6155R,155,Brillon Mulcher,25',
3/26/2025,,Condition Seedbeds,,JD 8245R,245,Hawkins 6 Row Bedder,,
3/26/2025,Cultipack,,,JD 6130R,130,"Schmizer / 3""",,
3/26/2025,Cultipack,Cultipack,Cultipack,JD 6130R,130,"Schmizer /1""",,
3/27/2025,Fertilizer Application,,Fertilizer Application,,,PV COOP Spreader Cart,,"11-52-0 MAP, 46-0-0 UREA dry blend"
3/27/2025,,Clean Furrows,Clean Furrows,JD 6125R,125,Red Pipe Ditcher,,
4/10/2025,,Fertilizer Application,,JD 6195R,195,JD 7300 6 Row,,"10-34-0, 32-0-0 UAN"
4/10/2025,,Strip till,,JD 8295R,295,Kuhn Gladiator Strip Tiller,,
4/11/2025,Condition Seedbeds,Condition Seedbeds,Condition Seedbeds,JD 8245R,,Hawkins 6 Row Bedder,,"Hawkins 6 Row Bedder / 3.00 """
4/11/2025,Cultipack,Cultipack,Cultipack,JD 6130R,130,"Schmizer /1""",,
4/24/2025,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,Plant Grain Corn w/ Optistart Gold,JD 6130R,130,Monosem NG+4 6 row,6 row,
6/23/2025,Fertilizer Application,Fertilizer Application,Fertilizer Application,JD 6195R,,LMC 12 Row Nutrient Applicator,,32-0-0 UAN 50.00 Lbs / Ac
6/24/2025,Clean Furrows,Clean Furrows,Clean Furrows,JD 6125R,125,Red Pipe Ditcher,,
6/24/2025,Cultivate,Cultivate,Cultivate,JD 6130R,,Eversman 1076 6 Row Cultivator,6 row,
6/24/2025,Pack Furrows,Pack Furrows,Pack Furrows,JD 5055E,156,Pipe Ditcher,,
7/30/2025,Pesticide Application,Pesticide Application,Pesticide Application,,,,,
11/10/2025,Harvest Grain,Harvest Grain,Harvest Grain,Case 2166 Combine,,,,
11/12/2025,Shred and Windrow,Shred and Windrow,Shred and Windrow,,,Hiniker Flail Shredder/Windrower 6 Row,6 row,
11/12/2025,Chop and Bale,Chop and Bale,Chop and Bale,,,JD 560M Round Baler,,
